,Name,Star Rating,State,Date,Players,Matches
1538,North-West La Open 2** Sanctioned Tournament,2,CA,09/23/2018 -09/23/2018,65,181
1539,2018 Butterfly WDCTT September Open,2,DC,09/22/2018 -09/22/2018,53,225
1540,Kansas Table Tennis Fall Open Tournament,2,KS,09/22/2018 -09/22/2018,93,295
1541,Wang Chen TTC September Open 2018,2,NJ,09/22/2018 -09/22/2018,13,32
1542,FLORIDA ORANGE BLOSSOM SERIES SEPTEMBER OPEN 2018,2,FL,09/21/2018 -09/22/2018,86,351
1543,AACCT/Ping Pongism Series SEPTEMBER 2018 Open,2,NY,09/16/2018 -09/16/2018,34,116
1544,GHTTC September 2018 Open,0,CT,09/16/2018 -09/16/2018,7,25
1545,2018 Ultimate Fieldhouse September Open,3,CA,09/15/2018 -09/15/2018,95,349
1546,2018 SPTTC WA STATE CHAMPIONSHIPS & SEPTEMBER,1,WA,09/15/2018 -09/15/2018,70,322
1547,Topspin Open 2018,2,NJ,09/15/2018 -09/15/2018,69,224
1548,2018 Badger Open,4,WI,09/14/2018 -09/14/2018,205,946
1549,"NYISC Sep. 9, 2018 Open",2,NY,09/09/2018 -09/09/2018,27,84
1550,Atlanta Fall Open,2,GA,09/08/2018 -09/08/2018,107,355
1551,2018 Princeton Pong September Open,2,NJ,09/08/2018 -09/08/2018,59,190
1552,Oregon State Championships,2,OR,09/08/2018 -09/08/2018,44,103
1553,University of Iowa Team RR,0,IA,09/05/2018 -09/05/2018,5,9
1554,Rose City Sanction League,0,TX,09/03/2018 -09/03/2018,6,11
1555,HCTT Circuit,0,MD,09/02/2018 -09/02/2018,26,99
1556,NJTTC September Open,2,NJ,09/02/2018 -09/02/2018,21,84
1557,2018 Butterfly Labor Day Teams,4,NC,09/01/2018 -09/02/2018,50,204
1558,2nd Adult Ranking Tournament,0,CA,08/31/2018 -09/02/2018,22,78
1559,2018 JOOLA LA Open Tournament,4,CA,09/01/2018 -09/01/2018,374,1486
1560,Westchester August 2018 Open,4,NY,08/25/2018 -08/26/2018,178,684
1561,OCTTA warm up for LA open,2,CA,08/25/2018 -08/26/2018,88,214
1562,6th Annual Robert Bluestone Memorial ,2,TX,08/25/2018 -08/25/2018,19,78
1563,Butterfly MDTTC August Open,3,MD,08/18/2018 -08/19/2018,82,321
1564,Paddle Palace Club 2018 Summer Open,0,OR,08/18/2018 -08/18/2018,41,122
1565,2018 RCTTC Summer Grand Round Robin,1,TX,08/18/2018 -08/18/2018,25,78
1566,Lexington Summer Open,0,KY,08/18/2018 -08/18/2018,32,125
1567,2018 Minnesota Summer Super Giant RR,2,MN,08/18/2018 -08/18/2018,54,173
1568,LATTA LEE RITTENBURG MEMORIAL August,2,CA,08/18/2018 -08/18/2018,64,233
1569,Florida Orange Blossom Table Tennis Series Summer Classic Open 2018,2,FL,08/17/2018 -08/18/2018,62,274
1570,Presper Financial Architects Open,2,OH,08/17/2018 -08/18/2018,93,521
1571,NYISC August 2018,2,NY,08/12/2018 -08/12/2018,48,154
1572,Butterfly 2018 August BTTC Open Tournament,4,FL,08/11/2018 -08/12/2018,110,505
1573,DTTA 1st Sanctioned Mensual of 2018,0,CO,08/11/2018 -08/12/2018,27,85
1574,Spin & Smash 2018 Summer Open,2,OH,08/10/2018 -08/12/2018,55,220
1575,2018 Wilmington Open,0,NC,08/11/2018 -08/11/2018,14,56
1576,Sacramento Summer Open Giant RR & 3 Player Team!,2,CA,08/11/2018 -08/11/2018,163,541
1577,2018 Paddle Palace 10K Hawkeye Open,4,,08/03/2018 -08/05/2018,138,768
1578,Princeton Pong August Open,2,,08/04/2018 -08/04/2018,63,199
1579,Knoxville Joseph Newgarden Memorial Summer Gold Dollar Upset Open 2018,2,TN,08/04/2018 -08/04/2018,36,150
1580,Ishaka Table Tennis Colossal Round Robin ,2,FL,08/03/2018 -08/03/2018,28,114
1581,Vernon Hills Summer Open,0,IL,07/29/2018 -07/29/2018,89,233
1582,2018 Arizona Sizzler Open,0,AZ,07/28/2018 -07/29/2018,64,305
1583,Westchester July 2018 Open,4,NY,07/28/2018 -07/29/2018,182,707
1584,2018 Butterfly WDCTT July Open,2,DC,07/28/2018 -07/28/2018,62,271
1585,LATTA Open July,2,CA,07/28/2018 -07/28/2018,56,186
1586,2018 Holiday Giant RR. ,1,IN,07/27/2018 -07/28/2018,25,96
1587,AACCT July 2018 Open,2,NY,07/22/2018 -07/22/2018,58,188
1588,2018 Swan Warriors July Open,4,IA,07/21/2018 -07/22/2018,132,398
1589,Georgia Games ,2,GA,07/21/2018 -07/22/2018,97,268
1590,SpinBlock Summer Open,2,IN,07/21/2018 -07/22/2018,62,214
1591,2018 BTTC Summer Open,0,WA,07/21/2018 -07/22/2018,51,185
1592,2018 Rocky Mountain State Games,1,CO,07/21/2018 -07/22/2018,53,180
1593,2018 Austin Summer Open,3,TX,07/21/2018 -07/21/2018,87,339
1594,2018 Triangle July Open,2,NC,07/21/2018 -07/21/2018,55,192
1595,Wang Chen TTC July Open 2018,2,NJ,07/21/2018 -07/21/2018,14,36
1596,Florida Orange Blossom Table Tennis Series - Lakeland July Classic Open,2,FL,07/20/2018 -07/21/2018,82,354
1597,2018 Aurora Summer Open,2,IL,07/15/2018 -07/15/2018,96,290
1598,"NYISC July 15, 2018 Open",2,NY,07/15/2018 -07/15/2018,54,159
1599,Princeton Pong July Open,2,NJ,07/07/2018 -07/07/2018,57,178
1600,US Nationals ,0,,07/02/2018 -07/07/2018,618,5258
1601,HCTT Circuit ,0,MD,07/01/2018 -07/01/2018,30,95
1602,Li Loeber USATT Sanctioned Tournament ,0,NY,06/30/2018 -06/30/2018,24,63
1603,Summer Open,2,IL,06/30/2018 -06/30/2018,65,224
1604,Westchester June 2018 Open,4,NY,06/23/2018 -06/24/2018,136,533
1605,2018 Summer State Games of Oklahoma,0,OK,06/23/2018 -06/23/2018,31,115
1606,2018 Ultimate Fieldhouse Pre-Nationals Open,2,IA,06/23/2018 -06/23/2018,67,250
1607,2018 Triangle June Open,2,NC,06/23/2018 -06/23/2018,47,149
1608,LATTA Open June,2,CA,06/23/2018 -06/23/2018,58,203
1609,SPTTC June Open,1,WA,06/23/2018 -06/23/2018,52,234
1610,2018 Wisconsin Closed State Championships,1,WI,06/23/2018 -06/23/2018,45,146
1611,AACCT June Open,2,NY,06/17/2018 -06/17/2018,33,98
1612,Butterfly 2018 June BTTC Open Tournament,4,FL,06/17/2018 -06/17/2018,131,605
1613,FLORIDA SUNSHINE STATE GAMES TABLE TENNIS 2018,2,FL,06/16/2018 -06/17/2018,60,315
1614,2018 Virginia State Championships,2,VA,06/16/2018 -06/17/2018,54,224
1615,2018 Jim Wang Memorial Tournament,1,TX,06/16/2018 -06/16/2018,25,56
1616,2018 Des Monies Open,2,IA,06/16/2018 -06/16/2018,49,191
1617,Rose City Open,1,OR,06/16/2018 -06/16/2018,41,185
1618,Wang Chen TTC June Open 2018,2,NJ,06/16/2018 -06/16/2018,15,35
1619,"NYISC June 10, 2018 Open",2,NY,06/10/2018 -06/10/2018,48,147
1620, 2018 TT&M JUNE ROUND ROBIN,0,AZ,06/10/2018 -06/10/2018,21,84
1621,LYTTC June Open,2,NJ,06/10/2018 -06/10/2018,45,165
1622,GHTTC June 2018,0,CT,06/10/2018 -06/10/2018,18,56
1623,NorthSide TTC Summer Classic,1,CO,06/09/2018 -06/09/2018,63,233
1624,Spin & Smash June Open,2,OH,06/08/2018 -06/08/2018,71,315
1625,"NYITTC June 3, 2018 Open",2,NY,06/03/2018 -06/03/2018,22,68
1626,UC San Diego Open 2018,2,CA,06/03/2018 -06/03/2018,79,220
1627,NJTTC 2018 June Open,2,NJ,06/03/2018 -06/03/2018,6,15
1628,2018 DFWTT Summer Open,2,TX,06/03/2018 -06/03/2018,56,220
1629,2018 Salt Lake City Summer Open,2,UT,06/02/2018 -06/03/2018,61,242
1630,2018 Maryland State Championships,3,MD,06/02/2018 -06/02/2018,87,311
1631,Princeton Pong June Open,2,NJ,06/02/2018 -06/02/2018,54,178
1632,Atlanta Summer Open,2,GA,06/02/2018 -06/02/2018,102,336
1633,Missouri Show-Me State Games Open,3,MO,06/02/2018 -06/02/2018,31,120
1634,27th Cape Fear Open,1,NC,06/02/2018 -06/02/2018,24,77
1635,2018 Meiklejohn North American Seniors Open,2,CA,05/31/2018 -05/31/2018,147,442
1636,Westchester May 2018 Open,4,NY,05/26/2018 -05/27/2018,172,654
1637,2018 Butterfly WDCTT May Open,2,DC,05/26/2018 -05/27/2018,59,263
1638,LATTA Open,2,CA,05/26/2018 -05/26/2018,48,147
1639,America's Team Championship,4,IL,05/26/2018 -05/26/2018,152,924
1640,AACCT May 2018 Open,2,NY,05/20/2018 -05/20/2018,39,103
1641,84th Annual Michigan Table Tennis ,2,MI,05/18/2018 -05/20/2018,67,338
1642,Pittsburgh Steel City Open,2,PA,05/19/2018 -05/19/2018,74,314
1643,"2018 Triangle May ""Upside Down"" Open",4,NC,05/19/2018 -05/19/2018,76,324
1644,2018 Sacramento Spring Open,2,CA,05/19/2018 -05/19/2018,142,532
1645,2018 SPTTC May Open ,1,WA,05/19/2018 -05/19/2018,76,418
1646,Homenetmen Ararat Open,2,California,05/19/2018 -05/19/2018,76,255
1647,Kansas Table Tennis Spring Open ,2,KS,05/19/2018 -05/19/2018,75,313
1648,May Newgy Open,2,NJ,05/19/2018 -05/19/2018,53,175
1649,2018 HITTA Summer Open,2,TX,05/19/2018 -05/19/2018,73,317
1650,San Diego Open 10K Tournament,3,CA,05/12/2018 -05/13/2018,184,684
1651,Princeton Pong May Open,2,NJ,05/12/2018 -05/12/2018,55,172
1652,Alabama Closed ,2,AL,05/12/2018 -05/12/2018,32,112
1653,"NYITTC May 6, 2018 Open",2,NY,05/06/2018 -05/06/2018,35,107
1654,The 89th New Jersey State Championships,2,NJ,05/06/2018 -05/06/2018,80,266
1655,ICC Butterfly America Open - 2018,4,CA,05/06/2018 -05/06/2018,250,881
1656,2018 Arizona Closed,0,AZ,05/05/2018 -05/06/2018,62,240
1657,HCTT Circuit,0,md,05/05/2018 -05/06/2018,30,117
1658,Texas Wesleyan University Open 5/05/2018,2,TX,05/05/2018 -05/05/2018,31,120
1659,Windy City Open,1,IL,05/05/2018 -05/05/2018,64,219
1660,26th Butterfly Cape Fear Open,2,NC,05/05/2018 -05/05/2018,15,57
1661,FLORIDA ORANGE BLOSSOM SERIES OPEN SPRING 2018,2,FL,05/04/2018 -05/05/2018,103,449
1662,2018 MATTBC April Open,1,MA,04/29/2018 -04/29/2018,26,80
1663,North West LA Open 2 ,2,CA,04/29/2018 -04/29/2018,57,163
1664,Westchester April 2018 Open,4,NY,04/28/2018 -04/29/2018,139,486
1665,2018 Indiana State Championship,1,IN,04/28/2018 -04/29/2018,66,273
1666,2018 Triangle April Open,2,NC,04/28/2018 -04/28/2018,54,191
1667,LATTA Open April,2,CA,04/28/2018 -04/28/2018,57,178
1668,2018 Austin Spring Classic Round Robin Tournament,2,TX,04/28/2018 -04/28/2018,91,395
1669,April Open,0,MI,04/28/2018 -04/28/2018,24,91
1670,2018 USATT Hopes Tournament MDTTC,0,MD,04/27/2018 -04/27/2018,38,94
1671,Vernon Hills Spring Open,2,IL,04/22/2018 -04/22/2018,82,216
1672,RITTA 2018 Spring Open,1,RI,04/22/2018 -04/22/2018,44,139
1673,2018 BTTC Spring Open,0,WA,04/21/2018 -04/22/2018,65,244
1674,"NYISC April 21, 2018 Open",2,NY,04/21/2018 -04/21/2018,21,66
1675,South Bend TTC Giant Round Robin ,0,MI,04/21/2018 -04/21/2018,18,72
1676,2018 Millcreek Giant Round Robin,2,PA,04/21/2018 -04/21/2018,109,546
1677,2018 Minnesota Open,2,MN,04/14/2018 -04/21/2018,70,195
1678,USATT/ITTF Regional Hopes Camp & Tournament,0,OH,04/20/2018 -04/20/2018,11,19
1679,AACCT April 2018 Open,2,NY,04/15/2018 -04/15/2018,37,116
1680,2018 Alameda Hopes & Joola Youth Cup,0,CA,04/15/2018 -04/15/2018,31,80
1681,Butterfly April 2018 BTTC Open,4,FL,04/14/2018 -04/15/2018,131,509
1682,2018 Big Island Open,1,HI,04/13/2018 -04/15/2018,30,166
1683,Clearwater Spring Open,2,FL,04/14/2018 -04/14/2018,38,118
1684,2018 Paddle Palace Club 2018 Giant RR & Teams,0,OR,04/14/2018 -04/14/2018,71,281
1685,2018 Butterfly MDTTC April Open,3,MD,04/14/2018 -04/14/2018,88,321
1686,Texas Wesleyan University Open,2,TX,04/14/2018 -04/14/2018,65,241
1687,Rose City League Tournament,0,TX,04/08/2018 -04/08/2018,5,9
1688,NJTTC Hopes Qualifier,0,NJ,04/06/2018 -04/08/2018,18,38
1689,2018 Aurora Spring Open,2,IL,04/07/2018 -04/07/2018,95,324
1690,2018 Princeton Pong April Open,2,NJ,04/07/2018 -04/07/2018,55,192
1691,Spin & Smash $2100+ Spring Open,2,OH,04/06/2018 -04/06/2018,72,322
1692,Chicago TableTennis League,0,IL,12/17/2017 -04/04/2018,52,301
1693,"NYITTC April 1, 2018 Open",2,NY,04/01/2018 -04/01/2018,30,99
1694,OCTTA April 2018 Open,2,CA,03/31/2018 -04/01/2018,120,324
1695,2018 Butterfly Cary Cup Open,4,NC,03/29/2018 -04/01/2018,220,1394
1696,Rose City Sanctioned League Tournament,0,TX,03/31/2018 -03/31/2018,4,5
1697,USATT National Ranking Youth Tournament,0,FL,03/29/2018 -03/29/2018,79,682
1698,2018 Butterfly WDTTC March Open,2,DC,03/24/2018 -03/25/2018,72,283
1699,2018 TT&M March Madness,0,AZ,03/24/2018 -03/25/2018,38,157
1700,Westchester March 2018 Open,4,NY,03/24/2018 -03/25/2018,144,523
1701,MCC Open,2,IN,03/24/2018 -03/24/2018,42,150
1702,Orlando's Annual Winter Open,2,FL,03/24/2018 -03/24/2018,78,325
1703,Denver North Side Crazy 8s,1,CO,03/24/2018 -03/24/2018,49,131
1704,LATTA Open,1,CA,03/24/2018 -03/24/2018,44,126
1705,El Paso Spring Giant Round Robin,2,TX,03/24/2018 -03/24/2018,18,59
1706,2018 Alabama Teams Championship,2,AL,03/24/2018 -03/24/2018,40,109
1707,AACCT March 2018 Open,2,NY,03/18/2018 -03/18/2018,33,95
1708,2018 Iowa City Spring Open,2,IA,03/17/2018 -03/18/2018,49,325
1709,54th St.Joseph Valley Open,3,IN,03/17/2018 -03/18/2018,133,630
1710,2018 Capital Plastics Butterfly Youth,2,CA,03/17/2018 -03/18/2018,67,333
1711,USATT/ITTF Hopes Regional Tournament,2,CA,03/17/2018 -03/17/2018,22,50
1712,12th Annual Bill Mason Memorial Tournament,1,OR,03/17/2018 -03/17/2018,32,97
1713,LYTTC March Open ,2,NJ,03/10/2018 -03/11/2018,69,296
1714,2018 Sacramento Winter Open,2,CA,03/10/2018 -03/10/2018,141,544
1715,2018 New Orleans Spring Open,2,LA,03/10/2018 -03/10/2018,58,210
1716,New Hampshire 2018 Winter Round Robin Open,1,NH,03/10/2018 -03/10/2018,35,126
1717,NJTTC March RR Open,2,NJ,03/05/2018 -03/06/2018,16,40
1718,Mayor's Cup 2018,2,NY,03/04/2018 -03/04/2018,65,117
1719,2018 SPTTC March Open,1,WA,03/03/2018 -03/04/2018,74,276
1720,USA Hopes Regional Qualifier LYTTC,0,NJ,03/03/2018 -03/04/2018,20,45
1721,2018 Arnold Table Tennis Challenge,4,OH,03/02/2018 -03/04/2018,328,1933
1722,HCTT Circuit,0,MD,03/03/2018 -03/03/2018,32,142
1723,2018 Princeton Pong March Open,2,NJ,03/03/2018 -03/03/2018,64,217
1724,Atlanta Giant Round Robin,2,GA,03/03/2018 -03/03/2018,66,295
1725,Pong Planet Open,3,CA,02/25/2018 -02/25/2018,157,458
1726,2018 Arizona Open & Giant Round Robin,0,AZ,02/24/2018 -02/25/2018,73,417
1727,Westchester 2018 February Open,4,NY,02/24/2018 -02/25/2018,167,640
1728,Arkansas Closed,2,AR,02/24/2018 -02/24/2018,35,153
1729,Triangle February Open,2,NC,02/24/2018 -02/24/2018,65,220
1730,LATTA Thanh Banh Memorial Open,2,CA,02/24/2018 -02/24/2018,60,220
1731,Davison Athletic Club February Open,2,MI,02/24/2018 -02/24/2018,20,69
1732,AACCT February 2018 Opn,2,NY,02/18/2018 -02/18/2018,41,131
1733,2018 DFWTT Winter Open,2,TX,02/17/2018 -02/17/2018,55,195
1734,2018 HITTA Spring Festival,2,TX,02/17/2018 -02/17/2018,74,266
1735,2018 Xiom Winter ,2,VA,02/17/2018 -02/17/2018,13,41
1736,Florida Orange Blossom Series Winter Open 2018,2,FL,02/16/2018 -02/17/2018,95,426
1737,$3000 Newgy Ohio Open,2,OH,02/16/2018 -02/17/2018,126,727
1738,LYTTC 2018 AIG Cup,2,NJ,02/11/2018 -02/11/2018,55,184
1739,Butterfly February 2018 BTTC Open,4,FL,02/10/2018 -02/11/2018,114,468
1740,2018 Butterfly MDTTC February Open,3,MD,02/10/2018 -02/10/2018,85,332
1741,2018 PPC February Open,2,OR,02/10/2018 -02/10/2018,88,304
1742,2018 Think Spring Giant RR,1,IN,02/10/2018 -02/10/2018,32,132
1743,Chinese New Year Open,1,IL,02/10/2018 -02/10/2018,64,216
1744,PSAL Individual Championship 2018,2,NY,02/10/2018 -02/10/2018,68,108
1745,NJTTC Feb RR Open,2,NJ,02/04/2018 -02/04/2018,18,78
1746,Spin & Smash Summer Open,2,OH,02/02/2018 -02/04/2018,79,353
1747,HAPPYSPIN New Year Tournament,2,TX,02/03/2018 -02/03/2018,39,124
1748,RITTA January Winter Open,1,RI,01/28/2018 -01/28/2018,32,114
1749,Westchester 2018,4,NY,01/27/2018 -01/28/2018,161,626
1750,2018 Minnesota State Championships,2,MN,01/27/2018 -01/28/2018,118,453
1751,2018 Triangle Winter Two-Person Teams Tournament,4,NC,01/27/2018 -01/28/2018,102,348
1752,AYTTO January 2018 Invitational ,0,NY,01/27/2018 -01/27/2018,35,84
1753,LATTA January Open,2,CA,01/27/2018 -01/27/2018,46,140
1754,2018 Winter State Games Of Oklahoma,0,OK,01/27/2018 -01/27/2018,38,155
1755,MID-FLORIDA TABLE TENNIS TOUR 2018 Jacksonville January Classic ,2,FL,01/27/2018 -01/27/2018,43,200
1756,North West LA Open,2,CA,01/21/2018 -01/21/2018,62,167
1757,2018 Myrtle Beach Open,0,NC,01/20/2018 -01/20/2018,29,68
1758,"NYITTC Jan 20,2018 Open",2,NY,01/20/2018 -01/20/2018,20,59
1759,SPTTC January Super Round Robin,0,WA,01/20/2018 -01/20/2018,44,203
1760,2018 Austin Winter Open Table Tennis Tournament,2,TX,01/20/2018 -01/20/2018,98,345
1761,"NYISC Jan. 14 2048, Open",2,NY,01/14/2018 -01/14/2018,24,67
1762,2018 Aurora Cup,4,IL,01/12/2018 -01/14/2018,291,1263
1763,Barry Dattel Memorial Open,2,NJ,01/13/2018 -01/13/2018,67,214
1764,"""Pens-a-Catur"" Winter Open",2,FL,01/13/2018 -01/13/2018,40,150
1765,AACCT January 2018 Open,2,NY,01/07/2018 -01/07/2018,33,97
1766,NJTTC January RR Open,2,NJ,01/07/2018 -01/07/2018,17,59
1767,2018 Princeton Pong January Open ,2,NJ,01/06/2018 -01/06/2018,59,215
1768,HCTT Circuit 20181,0,MD,01/06/2018 -01/06/2018,18,56
1769,Rose City League Tournament,0,TX,12/31/2017 -12/31/2017,5,10
1770,2017 Rose City Holiday Classics,1,TX,12/30/2017 -12/31/2017,14,41
1771,Westchester 2017 December Open,4,NY,12/29/2017 -12/30/2017,150,571
1772,US Open,5,NV,12/17/2017 -12/22/2017,787,5217
1773,Robopong December 2017 BTTC Open,4,FL,12/15/2017 -12/17/2017,108,567
1774,NJTTC December RR Open,2,New Jersey,12/10/2017 -12/10/2017,21,83
1775,2017 JAMTOWN Fall Open,3,CA,12/10/2017 -12/10/2017,64,182
1776,GHTTC 2017 Open,2,CT,12/10/2017 -12/10/2017,13,45
1777,2017 Butterfly WDCTT December Open,2,DC,12/09/2017 -12/10/2017,42,184
1778,2017 Holiday Teams & Two-Stage Giant RR,1,IN,12/09/2017 -12/10/2017,36,155
1779,PPC December Open,0,Oregon,12/09/2017 -12/10/2017,67,240
1780,AYTTO December 2017 Invitational,0,NY,12/09/2017 -12/09/2017,32,80
1781,2017 Princeton Pong Junior Championships,2,NJ,12/09/2017 -12/09/2017,36,95
1782,LATTA Open December 2017,2,CA,12/09/2017 -12/09/2017,41,124
1783,Rose City Sanction League December 9th,0,,12/09/2017 -12/09/2017,5,10
1784,DTTA Open Sanctioned MENSUAL Tournament 2017,0,CO,12/09/2017 -12/09/2017,32,125
1785,AACCT December 2017 Open,0,NY,12/03/2017 -12/03/2017,43,115
1786,2017 SPITTC December Open,0,WA,12/02/2017 -12/03/2017,70,300
1787,National Over 40 Tour Championships,0,NY,12/02/2017 -12/03/2017,50,198
1788,2017 Valley of the Sun Open,1,AZ,12/02/2017 -12/03/2017,53,210
1789,California State Open 2017,4,CA,12/01/2017 -12/03/2017,218,757
1790,Spin & Smash $2100+ December Open,2,OH,12/01/2017 -12/03/2017,76,320
1791,Joseph Bae Open,2,CA,12/02/2017 -12/02/2017,40,137
1792,2017 Triangle December Tournament ,2,NC`,12/02/2017 -12/02/2017,49,192
1793,2nd Annual Mark Nordby Memorial,2,TX,12/02/2017 -12/02/2017,14,67
1794,Denver Northside Fall Classic,1,CO,12/02/2017 -12/02/2017,48,203
1795,2017 Wichita Olympic Team Format TTT,1,KS,12/02/2017 -12/02/2017,29,90
1796,2017 West Coast Teams,3,CA,11/24/2017 -11/26/2017,72,352
1797,20th Annual North American Team Championship Powered By JOOLA,5,MD,11/24/2017 -11/26/2017,936,8219
1798,2017 Angel Cup Butterfly ,2,CA,11/24/2017 -11/24/2017,105,221
1799,2017 Massachusetts State Championships,2,MA,11/19/2017 -11/19/2017,24,65
1800,Norht- West LA Open,2,CA,11/19/2017 -11/19/2017,54,146
1801,Westchester 2017 November Open,4,NY,11/18/2017 -11/19/2017,134,473
1802,2017 Pittsburgh Amateur Pin Pong Festival,2,PA,11/18/2017 -11/19/2017,34,113
1803,2nd Table Tennis America Open,3,CA,11/18/2017 -11/19/2017,128,341
1804,2017 Kong Ghee Lee - Pong For Harvey Tournament,2,TX,11/18/2017 -11/19/2017,87,385
1805,Florida State Closed,2,FL,11/18/2017 -11/18/2017,70,300
1806,South Bend Open,0,South Bend,11/18/2017 -11/18/2017,18,65
1807,LATTA Open November 2017,2,CA,11/18/2017 -11/18/2017,98,358
1808,November Open,1,MI,11/18/2017 -11/18/2017,26,113
1809,NYISC November 2017 Open,2,NY,11/12/2017 -11/12/2017,31,103
1810,2017 Stiga Portland Open,2,OR,11/11/2017 -11/12/2017,132,529
1811,LYTTC CTTA Double Fish Cup Tour,2,NJ,11/11/2017 -11/12/2017,68,263
1812,AYTTO November Invitational,0,NY,11/12/2017 -11/11/2017,29,64
1813,2017 Triangle November Open,2,NC,11/11/2017 -11/11/2017,54,145
1814,Fall Open,1,IL,11/11/2017 -11/11/2017,64,222
1815,Minnesota Fall Classic,2,MN,11/11/2017 -11/11/2017,78,222
1816,2017 DFWTT Fall Open,2,TX,11/11/2017 -11/11/2017,85,270
1817,NJTTC November RR Open ,2,NJ,11/05/2017 -11/05/2017,17,60
1818,AACCT November 2017 Open,0,NY,11/05/2017 -11/05/2017,48,143
1819,Robo-Pong November 2017 BTTC Open,4,FL,11/04/2017 -11/05/2017,114,501
1820,2017 Kansas City Fall Open,2,MO,11/03/2017 -11/05/2017,72,297
1821,2017 Hawaii Island Open,2,Hi,11/03/2017 -11/05/2017,31,169
1822,Sacramento Fall Open,2,Ca,11/04/2017 -11/04/2017,158,587
1823,HCTT 2017-11,0,MD,11/04/2017 -11/04/2017,23,79
1824,25th Butterfly Cape Fear Open,1,NC,11/04/2017 -11/04/2017,24,80
1825,Atlanta Giant Round Robin,2,GA,11/04/2017 -11/04/2017,66,284
1826,"Rose City Sanctioned League November 4th, 2017 ",0,TX,11/04/2017 -11/04/2017,3,2
1827,2017 Fall Open Table Tennis Championship,0,MO,11/04/2017 -11/04/2017,37,133
1828,Grand Opening Tournament,2,TX,11/04/2017 -11/04/2017,45,145
1829,Westchester 2017 October Open,4,NY,10/28/2017 -10/29/2017,127,489
1830,TT&M 2017 Spooky Open,1,AZ,10/28/2017 -10/29/2017,25,130
1831,South Shore Sports & Butterfly Open,3,IN,10/28/2017 -10/29/2017,188,819
1832,Glendale Friendship Games,0,CA,10/28/2017 -10/29/2017,101,339
1833,PPC October Open,2,OR,10/28/2017 -10/29/2017,76,269
1834,Trolley Car TTC October 2017 Open,2,PA,10/28/2017 -10/29/2017,40,121
1835,Florida Orange Blossom Series Fall 2017 Open,2,FL,10/27/2017 -10/28/2017,82,355
1836,NYISC October 2017 Open,2,NY,10/22/2017 -10/22/2017,30,108
1837,2017 Santa Fe Open,2,NM,10/21/2017 -10/22/2017,78,343
1838,2017 Butterfly Southeastern Open,4,North Carolina,10/20/2017 -10/22/2017,106,651
1839,LATTA Open October 2017,2,CA,10/21/2017 -10/21/2017,55,170
1840,Zing! October 2017 Open,1,MA,10/21/2017 -10/21/2017,24,68
1841,2017 Princeton Pong October Open,2,NJ,10/21/2017 -10/21/2017,52,164
1842,Rose City Sanc League October 17th 2017,0,Texas,10/17/2017 -10/17/2017,4,6
1843,NJTTC RR Open,2,NJ,10/15/2017 -10/15/2017,28,101
1844,RITTA Fall Open,1,RI,10/15/2017 -10/15/2017,38,128
1845,First Annual Capital Plastics Butterfly US Youth Tournament,2,CA,10/14/2017 -10/15/2017,64,330
1846,MDTTC Butterfly October Open,3,MD,10/14/2017 -10/15/2017,78,314
1847,2017 Newgy Wang Vision Institute Open,2,TN,10/14/2017 -10/15/2017,49,225
1848,Clearwater Fall Open,2,FL,10/14/2017 -10/14/2017,40,155
1849,2017 Austin Fall Classic Round Robin ,2,TX,10/14/2017 -10/14/2017,75,378
1850,32nd Annual Bernard Hock Open,2,IN,10/14/2017 -10/14/2017,48,215
1851,2017 Millcreek Open,2,PA,10/14/2017 -10/14/2017,109,513
1852,New Orleans Open,2,LA,10/14/2017 -10/14/2017,38,132
1853,Huntsman World Senior Games,2,UT,10/09/2017 -10/12/2017,151,583
1854,AACCT Oct 2017 Open,0,NY,10/08/2017 -10/08/2017,41,129
1855,2017 MATTBC October Open,0,MA,10/08/2017 -10/08/2017,33,108
1856,Spin & Smash $2100+ Fall Open,2,OH,10/06/2017 -10/08/2017,74,272
1857,Vernon Hills Giant RR Teams Tournament,0,IL,10/07/2017 -10/07/2017,118,447
1858,"NYITTC Oct. 1, 2017 Open",2,NY,10/01/2017 -10/01/2017,26,82
1859,2017 San Antonio Fall Open,2,TX,09/30/2017 -10/01/2017,76,321
1860,LYTTC Kam Man Cup,2,NJ,09/30/2017 -09/30/2017,60,240
1861,September Open ,1,MI,09/30/2017 -09/30/2017,15,57
1862,2017 September Over 40 Tour,2,NC,09/24/2017 -09/24/2017,26,73
1863,2017 Best of the West Open,2,AZ,09/23/2017 -09/24/2017,71,383
1864,2017 Butterfly WDCTT Spet Open & DC Closed,2,DC,09/23/2017 -09/24/2017,58,238
1865,Lexington Open,0,KY,09/23/2017 -09/24/2017,48,157
1866,Westchester 2017,4,NY,09/23/2017 -09/23/2017,152,553
1867,Texas Wesleyan Open Table Tennis Tournmanet,2,TX,09/23/2017 -09/23/2017,80,279
1868,LATTA Open,2,CA,09/23/2017 -09/23/2017,58,192
1869,NYISC September 2017 Open,2,NY,09/17/2017 -09/17/2017,20,63
1870,North West LA Open,2,California,09/17/2017 -09/17/2017,77,195
1871,2017 SPITTC WA State Championship & September Open,2,,09/16/2017 -09/17/2017,94,377
1872,2017 Butterfly Badger Open,4,WI,09/15/2017 -09/17/2017,254,1261
